profile	genome_id	sample_id	overall_status	tech_status	bio_status	total_te_pct	total_te_bp	total_te_source	ltr_total_pct	ltr_total_bp	ltr_known_pct	ltr_known_bp	ltr_unknown_pct	ltr_unknown_bp	tir_pct	tir_bp	helitron_pct	helitron_bp	line_present	line_pct	line_bp	sine_present	sine_pct	sine_bp	notes	tags	missing	teanno_sum	sample_dir
plant	GCA_025175895.1	GCA_025175895.1_ASM2517589v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_025175895.1_ASM2517589v1_genomic
plant	GCA_026214975.1	GCA_026214975.1_ASM2621497v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_026214975.1_ASM2621497v1_genomic
plant	GCA_029339355.1	GCA_029339355.1_CS_assembly_2_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_029339355.1_CS_assembly_2_genomic
plant	GCA_030159175.1	GCA_030159175.1_Glur_r1.0_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_030159175.1_Glur_r1.0_genomic
plant	GCA_030347555.1	GCA_030347555.1_ILRI_Lpur_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_030347555.1_ILRI_Lpur_genomic
plant	GCA_030762895.1	GCA_030762895.1_ZD_Sfla_1.0_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_030762895.1_ZD_Sfla_1.0_genomic
plant	GCA_032362305.1	GCA_032362305.1_ASM3236230v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_032362305.1_ASM3236230v1_genomic
plant	GCA_033807775.1	GCA_033807775.1_ASM3380777v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_033807775.1_ASM3380777v1_genomic
plant	GCA_034093135.1	GCA_034093135.1_ASM3409313v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_034093135.1_ASM3409313v1_genomic
plant	GCA_035771175.1	GCA_035771175.1_ASM3577117v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_035771175.1_ASM3577117v1_genomic
plant	GCA_036169575.1	GCA_036169575.1_PB533_SCSK_HAP2_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_036169575.1_PB533_SCSK_HAP2_genomic
plant	GCA_036245055.1	GCA_036245055.1_ASM3624505v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_036245055.1_ASM3624505v1_genomic
plant	GCA_036785695.1	GCA_036785695.1_ASM3678569v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_036785695.1_ASM3678569v1_genomic
plant	GCA_036897175.1	GCA_036897175.1_ASM3689717v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_036897175.1_ASM3689717v1_genomic
plant	GCA_036898165.1	GCA_036898165.1_MJU_Smar_1.0_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_036898165.1_MJU_Smar_1.0_genomic
plant	GCA_037043215.1	GCA_037043215.1_ASM3704321v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_037043215.1_ASM3704321v1_genomic
plant	GCA_037074505.1	GCA_037074505.1_ASM3707450v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_037074505.1_ASM3707450v1_genomic
plant	GCA_037074535.1	GCA_037074535.1_ASM3707453v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_037074535.1_ASM3707453v1_genomic
plant	GCA_037127255.1	GCA_037127255.1_ASM3712725v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_037127255.1_ASM3712725v1_genomic
plant	GCA_037177395.1	GCA_037177395.1_ASM3717739v1_genomic	FAIL	PASS	FAIL	21.580	193092274	TOTAL	0.690	6141121	0.680	6056111	0.010	85010	14.800	132387756	0.020	144994	1	2.060	18449364	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_LTR_TOTAL; WARN_LOW_HELITRON; WARN_SINE_NOT_REPORTED; HINT_LOW_LTR_KNOWN		/data/NCBI-jieya_EDTA/GCA_037177395.1_ASM3717739v1_genomic/GCA_037177395.1_ASM3717739v1_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_037177395.1_ASM3717739v1_genomic
plant	GCA_037693485.1	GCA_037693485.1_ASM3769348v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_037693485.1_ASM3769348v1_genomic
plant	GCA_037974795.1	GCA_037974795.1_ASM3797479v1_genomic	FAIL	PASS	FAIL	1.230	11864572	TOTAL	0.040	381180	0.040	381180	NA	NA	0.050	573058	0.020	204099	1	1.070	10260527	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_TOTAL_TE; HARD_FAIL_LTR_TOTAL; HARD_FAIL_TIR; WARN_LOW_HELITRON; WARN_SINE_NOT_REPORTED; HINT_LOW_LTR_KNOWN		/data/NCBI-jieya_EDTA/GCA_037974795.1_ASM3797479v1_genomic/GCA_037974795.1_ASM3797479v1_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_037974795.1_ASM3797479v1_genomic
plant	GCA_039639715.1	GCA_039639715.1_ASM3963971v1_genomic	FAIL	PASS	FAIL	0.000	0	TOTAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_TOTAL_TE; HARD_FAIL_LTR_TOTAL; HARD_FAIL_TIR; WARN_HELITRON_NOT_REPORTED; WARN_LINE_NOT_REPORTED; WARN_SINE_NOT_REPORTED; WARN_LTR_KNOWN_NOT_REPORTED		/data/NCBI-jieya_EDTA/GCA_039639715.1_ASM3963971v1_genomic/GCA_039639715.1_ASM3963971v1_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_039639715.1_ASM3963971v1_genomic
plant	GCA_039654745.1	GCA_039654745.1_CUHK_Hcor_1_genomic	FAIL	PASS	FAIL	0.000	0	TOTAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_TOTAL_TE; HARD_FAIL_LTR_TOTAL; HARD_FAIL_TIR; WARN_HELITRON_NOT_REPORTED; WARN_LINE_NOT_REPORTED; WARN_SINE_NOT_REPORTED; WARN_LTR_KNOWN_NOT_REPORTED		/data/NCBI-jieya_EDTA/GCA_039654745.1_CUHK_Hcor_1_genomic/GCA_039654745.1_CUHK_Hcor_1_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_039654745.1_CUHK_Hcor_1_genomic
plant	GCA_039720395.1	GCA_039720395.1_ZJU_Lfor_1.0_genomic	FAIL	PASS	FAIL	0.000	0	TOTAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_TOTAL_TE; HARD_FAIL_LTR_TOTAL; HARD_FAIL_TIR; WARN_HELITRON_NOT_REPORTED; WARN_LINE_NOT_REPORTED; WARN_SINE_NOT_REPORTED; WARN_LTR_KNOWN_NOT_REPORTED		/data/NCBI-jieya_EDTA/GCA_039720395.1_ZJU_Lfor_1.0_genomic/GCA_039720395.1_ZJU_Lfor_1.0_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_039720395.1_ZJU_Lfor_1.0_genomic
plant	GCA_040143745.1	GCA_040143745.1_ASM4014374v1_genomic	FAIL	PASS	FAIL	0.000	0	TOTAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_TOTAL_TE; HARD_FAIL_LTR_TOTAL; HARD_FAIL_TIR; WARN_HELITRON_NOT_REPORTED; WARN_LINE_NOT_REPORTED; WARN_SINE_NOT_REPORTED; WARN_LTR_KNOWN_NOT_REPORTED		/data/NCBI-jieya_EDTA/GCA_040143745.1_ASM4014374v1_genomic/GCA_040143745.1_ASM4014374v1_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_040143745.1_ASM4014374v1_genomic
plant	GCA_040207345.1	GCA_040207345.1_Final_corrected_assemly_genome_genomic	FAIL	PASS	FAIL	0.000	0	TOTAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_TOTAL_TE; HARD_FAIL_LTR_TOTAL; HARD_FAIL_TIR; WARN_HELITRON_NOT_REPORTED; WARN_LINE_NOT_REPORTED; WARN_SINE_NOT_REPORTED; WARN_LTR_KNOWN_NOT_REPORTED		/data/NCBI-jieya_EDTA/GCA_040207345.1_Final_corrected_assemly_genome_genomic/GCA_040207345.1_Final_corrected_assemly_genome_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_040207345.1_Final_corrected_assemly_genome_genomic
plant	GCA_040256895.1	GCA_040256895.1_C.teeta_hap1v1.0_genomic	FAIL	PASS	FAIL	0.000	0	TOTAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_TOTAL_TE; HARD_FAIL_LTR_TOTAL; HARD_FAIL_TIR; WARN_HELITRON_NOT_REPORTED; WARN_LINE_NOT_REPORTED; WARN_SINE_NOT_REPORTED; WARN_LTR_KNOWN_NOT_REPORTED		/data/NCBI-jieya_EDTA/GCA_040256895.1_C.teeta_hap1v1.0_genomic/GCA_040256895.1_C.teeta_hap1v1.0_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_040256895.1_C.teeta_hap1v1.0_genomic
plant	GCA_040581565.1	GCA_040581565.1_ASM4058156v1_genomic	FAIL	PASS	FAIL	0.000	0	TOTAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_TOTAL_TE; HARD_FAIL_LTR_TOTAL; HARD_FAIL_TIR; WARN_HELITRON_NOT_REPORTED; WARN_LINE_NOT_REPORTED; WARN_SINE_NOT_REPORTED; WARN_LTR_KNOWN_NOT_REPORTED		/data/NCBI-jieya_EDTA/GCA_040581565.1_ASM4058156v1_genomic/GCA_040581565.1_ASM4058156v1_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_040581565.1_ASM4058156v1_genomic
plant	GCA_040802715.1	GCA_040802715.1_GZUCM_Ccassia_1.0_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_040802715.1_GZUCM_Ccassia_1.0_genomic
plant	GCA_040869085.1	GCA_040869085.1_ASM4086908v1_genomic	FAIL	PASS	FAIL	0.000	0	TOTAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_TOTAL_TE; HARD_FAIL_LTR_TOTAL; HARD_FAIL_TIR; WARN_HELITRON_NOT_REPORTED; WARN_LINE_NOT_REPORTED; WARN_SINE_NOT_REPORTED; WARN_LTR_KNOWN_NOT_REPORTED		/data/NCBI-jieya_EDTA/GCA_040869085.1_ASM4086908v1_genomic/GCA_040869085.1_ASM4086908v1_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_040869085.1_ASM4086908v1_genomic
